%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
0.0, -530.0485409200191, -546.5022307750769, -5.6154597834683955, -320.72634040005505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151025617001824E9, 0.0, 2024-05-07 12:22:41.700
1.0, -535.8079868517816, -555.0441622738726, -14.980169272515923, -331.4897724725306, 0.0, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151025617136304E9, 0.0, 2024-05-07 12:22:41.713
1.0, -535.3591988570988, -558.4998298329301, -13.143878394272178, -324.46250045578927, 0.0, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151025617136304E9, 0.0, 2024-05-07 12:22:41.713
2.0, -524.8762592813, -547.1417536674999, 3.1620854125358164, -310.4827544214204, 0.0800000037997961, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151025617466109E9, 0.0, 2024-05-07 12:22:41.746
2.0, -516.6335197789595, -553.3238082942553, 3.094767213333398, -313.6018309844658, 0.0800000037997961, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151025617466109E9, 0.0, 2024-05-07 12:22:41.746
3.0, -532.3373596929014, -559.0159360268153, -3.139646012801677, -319.46225421503186, 0.0800000037997961, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151025617473211E9, 0.0, 2024-05-07 12:22:41.747
3.0, -514.2699030069634, -553.8885331875645, 11.588080012705177, -313.90476288087666, 0.0800000037997961, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151025617473211E9, 0.0, 2024-05-07 12:22:41.747
4.0, -506.8985601942986, -557.0861476496793, 17.09321274748072, -312.02359320316464, 0.0800000037997961, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151025617481596E9, 0.0, 2024-05-07 12:22:41.748
4.0, -521.547748320736, -564.109679766465, 8.734536346513778, -326.65034192986786, 0.0800000037997961, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151025617481596E9, 0.0, 2024-05-07 12:22:41.748
5.0, -508.4319191761315, -556.3606070582755, 22.33655248535797, -315.7036547595635, 0.0800000037997961, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151025617591057E9, 0.0, 2024-05-07 12:22:41.759
5.0, -507.7512573841959, -543.5776290097274, 23.5108810714446, -306.4324427694082, 0.0800000037997961, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151025617591057E9, 0.0, 2024-05-07 12:22:41.759
6.0, -510.6945586493239, -557.9874635390006, 19.632604817394167, -317.8279179343954, 0.0800000037997961, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151025617598004E9, 0.0, 2024-05-07 12:22:41.759
6.0, -499.0896490868181, -544.7182984962128, 41.12580986274406, -310.0713654262945, 0.0800000037997961, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151025617598004E9, 0.0, 2024-05-07 12:22:41.759
7.0, -486.9686333304271, -547.0744354682975, 32.25850706780329, -313.80378558207303, 0.0800000037997961, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151025617735126E9, 0.0, 2024-05-07 12:22:41.773
7.0, -482.25261948630214, -550.1336736320518, 45.81564440717921, -312.3414846993983, 0.0800000037997961, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151025617735126E9, 0.0, 2024-05-07 12:22:41.773
8.0, -484.642415557988, -550.5749818268232, 40.08611767506227, -316.72090754751116, 0.0800000037997961, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151025617891202E9, 0.0, 2024-05-07 12:22:41.789
8.0, -474.83639787416905, -544.9913111929782, 53.83772981213406, -303.2497879071161, 0.0800000037997961, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151025617891202E9, 0.0, 2024-05-07 12:22:41.789
9.0, -460.400384045206, -562.8605531812645, 58.6771603547968, -302.61026501469314, 0.0800000037997961, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151025617898097E9, 0.0, 2024-05-07 12:22:41.789
9.0, -481.9347279900685, -554.1278867847286, 46.679561296943575, -312.06099220272154, 0.0800000037997961, 1.008000047877431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151025617898097E9, 0.0, 2024-05-07 12:22:41.789
10.0, -475.53949906583875, -561.3458936992101, 51.526471639517695, -306.9597686631605, 0.0800000037997961, 1.008000047877431, 0.20800000987946987, 0.0, 0.0, 0.0, 0.0, 0.0, 1.715102561803461E9, 0.0, 2024-05-07 12:22:41.803
10.0, -501.8309957543388, -577.689256505575, 40.31425157235935, -311.90765630453825, 0.0800000037997961, 1.008000047877431, 0.20800000987946987, 0.0, 0.0, 0.0, 0.0, 0.0, 1.715102561803461E9, 0.0, 2024-05-07 12:22:41.803
11.0, -518.7839622534811, -579.5666862833314, 23.009734477382153, -320.7375600999221, 0.0800000037997961, 1.008000047877431, 0.20800000987946987, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151025618189456E9, 0.0, 2024-05-07 12:22:41.818
11.0, -528.8517729341984, -572.0307878726162, 15.313020368572325, -322.42425497993827, 0.0800000037997961, 1.008000047877431, 0.20800000987946987, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151025618189456E9, 0.0, 2024-05-07 12:22:41.818
