%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
0.0, -648.485562666785, -647.8965284237638, -65.3828009753488, -330.33040348626673, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028156548748E9, 0.0, 2024-05-07 12:26:55.654
1.0, -638.8740197806619, -639.608910121955, -56.380861782003194, -322.65238887723535, 0.0, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.715102815668248E9, 0.0, 2024-05-07 12:26:55.668
1.0, -660.449502625037, -643.4011686770245, -67.4584454507567, -340.4655323661864, 0.0, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.715102815668248E9, 0.0, 2024-05-07 12:26:55.668
2.0, -653.0706800124608, -649.6879405025393, -69.00302413245663, -339.167787081562, 0.09600000455975533, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028156849363E9, 0.0, 2024-05-07 12:26:55.684
2.0, -642.6887177354656, -644.0519112693146, -67.80999604659155, -336.7443319102749, 0.09600000455975533, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028156849363E9, 0.0, 2024-05-07 12:26:55.684
3.0, -648.9829693608917, -661.6892794603482, -79.6093804067932, -336.40026111435145, 0.09600000455975533, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028156856763E9, 0.0, 2024-05-07 12:26:55.685
3.0, -661.5452933120541, -654.093542650342, -85.85127343283966, -338.18045349325985, 0.09600000455975533, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028156856763E9, 0.0, 2024-05-07 12:26:55.685
4.0, -670.6743891038932, -661.390087463893, -91.62567896442488, -342.1634469460696, 0.09600000455975533, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028156982448E9, 0.0, 2024-05-07 12:26:55.698
4.0, -667.6525499396957, -663.5293102385476, -84.02994215441868, -350.7240779446438, 0.09600000455975533, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028156982448E9, 0.0, 2024-05-07 12:26:55.698
5.0, -676.1720420387574, -685.0299950838089, -103.23432842688635, -370.37725221179426, 0.09600000455975533, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.715102815713739E9, 0.0, 2024-05-07 12:26:55.713
5.0, -663.5947584877722, -681.34993352741, -99.09425917593762, -358.0580217577517, 0.09600000455975533, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.715102815713739E9, 0.0, 2024-05-07 12:26:55.713
6.0, -655.8681251793168, -670.1377134602517, -84.74052314599976, -363.2564826961607, 0.09600000455975533, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028157144344E9, 0.0, 2024-05-07 12:26:55.714
6.0, -672.9594679768197, -686.6194525649771, -100.6238782578148, -370.8821387058124, 0.09600000455975533, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028157144344E9, 0.0, 2024-05-07 12:26:55.714
7.0, -664.1482636812143, -671.364400645718, -81.04550198977813, -355.01000329386443, 0.09600000455975533, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028157280571E9, 0.0, 2024-05-07 12:26:55.728
7.0, -668.4566284301691, -660.2830770770088, -78.08350122487172, -350.22667125053704, 0.09600000455975533, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028157280571E9, 0.0, 2024-05-07 12:26:55.728
8.0, -662.6597834988497, -666.1322806077078, -78.41261242097244, -344.17551312223077, 0.09600000455975533, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028157436936E9, 0.0, 2024-05-07 12:26:55.743
8.0, -674.8107184548862, -661.5845622615889, -78.2779760225676, -352.9455785183236, 0.09600000455975533, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028157436936E9, 0.0, 2024-05-07 12:26:55.743
9.0, -673.112803875003, -657.3435157118365, -80.60045389505103, -351.26262353826314, 0.09600000455975533, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7151028157444608E9, 0.0, 2024-05-07 12:26:55.744
